ori
hdportfolio_share
pipeline_hd_share
do_performance_hd
ip_performance_hd
disburratio_hd
avgsize_hd
crossgpshare_hd
eduportfolio_share
pipeline_edu_share
do_performance_edu
ip_performance_edu
disburratio_edu
avgsize_edu
crossgpshare_edu
hnpportfolio_share
pipeline_hnp_share
do_performance_hnp
ip_performance_hnp
disburratio_hnp
avgsize_hnp
crossgpshare_hnp
spjportfolio_share
pipeline_spj_share
do_performance_spj
ip_performance_spj
disburratio_spj
avgsize_spj
crossgpshare_spj
